EngagementId,DocumentId,Schedule,TaxYear,InvestmentName,InvestmentTaxId,InvestmentPrimaryId,InvestorName,InvestorTaxId,InvestorPrimaryId,Part,Section,ScheduleItemId,ScheduleItemDescription,ScheduleItemDetailId,DetailDescription,ItemCode,ItemSubCode,ItemSubSubCode,ScheduleItemOtherId,FootnoteType,FootnoteLine,Values,RowGroupId,ColumnGroupId,ExtractedScheduleItemGroupId,FileName,Category
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39503,Final K-1,,,,,,,,,No,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39502,Amended K-1,,,,,,,,,No,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39504,Partnership's employer identification number,,,A,,,,,,98-0009870,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39505,Partnership's name,,,B,,,,,,SITWELL COMPANY,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39544,"Partnership's address, city, state, and ZIP code",,,E,,,,,,"1234 ALOPICIA DRIVE NEWPORT BEACH, CA 90210",,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39506,IRS Center where partnership filed return,,,C,,,,,,EFILE,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39508,Partner's SSN or TIN,,,E,,,,,,192-83-7645,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39509,Partner's name,,,F,,,,,,GEORGE BLUTH,,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39545,"Partner's address, city, state and ZIP code",,,H,,,,,,"123 PENITENTIARY AVENUE NEWPORT BEACH, CA 90210",,,,2021 George Bluth K1_1_14.pdf,Actual
bde83f10-d643-ec11-9820-a085fc56e97f,9eea81fd-874a-464c-a7b4-f0c09e236c8d,Federal K-1,2023,SITWELL COMPANY,98-0009870,,GEORGE BLUTH,192-83-7645,,,,39510,Is this partner a general partner or LLC member-manager?,,,G,,,,,,No,,,,2021 George Bluth K1_1_14.pdf,Actual
